area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Andaman & Nicobar Islands,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Andhra Pradesh,2004,Total Casualties under Police Firing & Lathi Charge,14,28,77,56,1
Arunachal Pradesh,2004,Total Casualties under Police Firing & Lathi Charge,2,0,2,0,0
Assam,2004,Total Casualties under Police Firing & Lathi Charge,5,12,13,3,1
Bihar,2004,Total Casualties under Police Firing & Lathi Charge,6,10,16,24,0
Chandigarh,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Chhattisgarh,2004,Total Casualties under Police Firing & Lathi Charge,4,0,95,40,0
Dadra & Nagar Haveli,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Daman & Diu,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Delhi,2004,Total Casualties under Police Firing & Lathi Charge,10,11,9,1,0
Goa,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Gujarat,2004,Total Casualties under Police Firing & Lathi Charge,2,11,23,30,1
Haryana,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Himachal Pradesh,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Jammu & Kashmir,2004,Total Casualties under Police Firing & Lathi Charge,19,13,123,47,11
Jharkhand,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Karnataka,2004,Total Casualties under Police Firing & Lathi Charge,2,0,3,7,0
Kerala,2004,Total Casualties under Police Firing & Lathi Charge,12,0,4,12,0
Lakshadweep,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Madhya Pradesh,2004,Total Casualties under Police Firing & Lathi Charge,1,18,28,8,2
Maharashtra,2004,Total Casualties under Police Firing & Lathi Charge,18,22,43,47,7
Manipur,2004,Total Casualties under Police Firing & Lathi Charge,1,4,22,7,15
Meghalaya,2004,Total Casualties under Police Firing & Lathi Charge,0,4,3,0,0
Mizoram,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Nagaland,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Odisha,2004,Total Casualties under Police Firing & Lathi Charge,3,0,3,0,0
Puducherry,2004,Total Casualties under Police Firing & Lathi Charge,1,0,3,0,0
Punjab,2004,Total Casualties under Police Firing & Lathi Charge,22,1,1,12,0
Rajasthan,2004,Total Casualties under Police Firing & Lathi Charge,47,5,13,67,0
Sikkim,2004,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Tamil Nadu,2004,Total Casualties under Police Firing & Lathi Charge,1,6,12,23,0
Tripura,2004,Total Casualties under Police Firing & Lathi Charge,50,33,40,3,10
Uttar Pradesh,2004,Total Casualties under Police Firing & Lathi Charge,3,230,198,98,31
Uttarakhand,2004,Total Casualties under Police Firing & Lathi Charge,1,6,6,9,0
West Bengal,2004,Total Casualties under Police Firing & Lathi Charge,33,6,54,94,2
