state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
HIMACHAL PRADESH,OTHER RAPE,13,0,151,4,69,6,12,2,2,0,247,12,259
JAMMU & KASHMIR,OTHER RAPE,3,0,210,11,123,16,21,3,1,0,358,30,388
JHARKHAND,OTHER RAPE,24,0,512,10,186,6,38,4,0,0,760,20,780
KARNATAKA,OTHER RAPE,13,0,437,25,233,29,89,5,10,1,782,60,842
KERALA,OTHER RAPE,30,0,578,4,455,15,150,0,27,0,1240,19,1259
MADHYA PRADESH,OTHER RAPE,279,5,2807,52,1239,42,351,12,32,3,4708,114,4822
MAHARASHTRA,OTHER RAPE,104,2,1507,63,612,86,156,42,17,2,2396,195,2591
MANIPUR,OTHER RAPE,0,0,22,2,16,2,4,0,0,0,42,4,46
MEGHALAYA,OTHER RAPE,25,0,89,0,50,1,16,0,1,0,181,1,182
MIZORAM,OTHER RAPE,21,0,43,0,45,0,12,0,1,0,122,0,122
NAGALAND,OTHER RAPE,2,0,15,0,5,1,2,0,1,0,25,1,26
ODISHA,OTHER RAPE,86,1,959,16,432,30,130,8,4,0,1611,55,1666
PUNJAB,OTHER RAPE,15,1,436,36,268,44,88,6,0,0,807,87,894
RAJASTHAN,OTHER RAPE,109,0,1026,24,540,9,89,6,4,0,1768,39,1807
SIKKIM,OTHER RAPE,0,0,15,0,10,0,4,0,0,0,29,0,29
TAMIL NADU,OTHER RAPE,30,0,568,4,239,25,84,6,5,1,926,36,962
TRIPURA,OTHER RAPE,23,0,120,0,54,0,4,1,0,0,201,1,202
UTTAR PRADESH,OTHER RAPE,123,0,2339,3,963,7,151,7,0,0,3576,17,3593
UTTARAKHAND,OTHER RAPE,10,0,110,1,56,0,7,0,0,0,183,1,184
WEST BENGAL,OTHER RAPE,89,0,1141,0,547,0,165,0,21,0,1963,0,1963
