state_ut,district,year,murder,rape,kidnapping_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_sts
Himachal Pradesh,KANGRA,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,KINNAUR,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,KULLU,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,LAHAUL-SPITI,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,MANDI,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,SHIMLA,2013,0,0,0,0,0,0,0,0,2,0
Himachal Pradesh,SIRMAUR,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,SOLAN,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,UNA,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,ZZ TOTAL,2013,0,0,0,0,0,0,0,0,2,0
Jammu & Kashmir,ANANTNAG,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,AWANTIPORA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BANDIPORA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BARAMULLA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BUDGAM,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME JAMMU,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME SRINAGAR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,DODA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,GANDERBAL,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,HANDWARA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,JAMMU,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KARGIL,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KATHUA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KISHTWAR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KULGAM,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KUPWARA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,LEH,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,POONCH,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,PULWAMA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS JAMMU,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KASHMIR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KATRA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAJOURI,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAMBAN,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,REASI,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SAMBA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SHOPIAN,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SOPORE,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SRINAGAR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,UDHAMPUR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,ZZ TOTAL,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,BOKARO,2013,0,0,0,0,0,0,0,0,4,0
Jharkhand,CHAIBASA,2013,0,0,0,0,0,0,0,0,8,8
Jharkhand,CHATRA,2013,0,0,0,0,0,0,0,0,2,0
Jharkhand,DEOGHAR,2013,0,0,0,0,0,0,1,0,1,0
Jharkhand,DHANBAD,2013,0,0,0,0,0,0,2,0,4,2
Jharkhand,DHANBAD RLY.,2013,0,0,0,0,0,0,0,0,1,1
Jharkhand,DUMKA,2013,0,0,0,0,0,0,1,0,7,6
Jharkhand,GARHWA,2013,0,2,0,0,0,0,7,0,14,5
Jharkhand,GIRIDIH,2013,1,1,1,0,0,0,0,0,5,20
Jharkhand,GODDA,2013,0,0,0,0,0,0,0,0,7,0
Jharkhand,GUMLA,2013,0,6,6,0,0,0,7,0,19,0
Jharkhand,HAZARIBAGH,2013,0,0,0,0,0,0,0,0,8,7
Jharkhand,JAMSHEDPUR,2013,0,3,0,0,0,1,22,0,46,20
Jharkhand,JAMSHEDPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,JAMTARA,2013,0,1,0,0,0,0,5,0,19,18
Jharkhand,KHUNTI,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,KODERMA,2013,0,0,0,0,0,0,1,0,1,0
Jharkhand,LATEHAR,2013,0,0,0,0,0,0,0,0,8,8
Jharkhand,LOHARDAGGA,2013,0,0,0,0,0,0,0,0,6,0
Jharkhand,PAKUR,2013,0,0,0,0,0,0,0,0,3,0
Jharkhand,PALAMU,2013,0,0,0,0,0,0,7,0,7,0
Jharkhand,RAMGARH,2013,0,0,0,0,0,0,6,0,10,8
Jharkhand,RANCHI,2013,0,0,0,0,0,0,3,0,8,0
Jharkhand,SAHEBGANJ,2013,0,0,0,0,0,0,6,0,0,1
Jharkhand,SARAIKELA,2013,0,2,0,0,0,0,3,0,5,0
Jharkhand,SIMDEGA,2013,0,0,0,0,0,0,0,0,2,2
