state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
TRIPURA,2003,26,45,130,190,0,6,0,0,0,0,0,0,0,0,20,25,10,18,17,61,0,0,0,0,0,0,0,0,36,69,167,276
UTTAR PRADESH,2003,143,215,2702,3892,69,957,56,2634,0,0,0,0,14,48,0,2487,4,10,0,0,11,24,244,349,76,734,1014,6389,317,1988,4016,15751
UTTARAKHAND,2003,16,35,357,581,0,57,3,40,0,0,0,0,0,0,0,48,0,3,3,0,3,6,99,201,7,59,95,498,26,160,557,1368
WEST BENGAL,2003,70,90,214,5890,15,44,0,19,0,0,0,2,10,28,0,404,10,3,0,3,15,30,32,1598,97,403,96,4697,217,598,342,12613
TOTAL (STATES),2003,2361,3036,60118,66846,870,3904,304,5328,6,12,3,128,156,454,65,13304,62,101,323,361,303,1028,13568,23506,1502,8499,16074,118240,5260,17034,90455,227713
A & N ISLANDS,2003,0,0,36,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,2,2,7,10,41,2,7,56,60
CHANDIGARH,2003,0,2,120,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,59,65,3,8,23,963,3,12,204,1238
D & N HAVELI,2003,2,0,20,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,23,2,1,7,19,4,6,41,61
DAMAN & DIU,2003,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,8,0,1,10,35,4,1,41,46
DELHI,2003,9,105,1292,4998,7,203,0,129,0,0,0,0,0,14,0,1095,0,0,0,10,5,33,324,1407,7,86,282,7905,28,441,1898,15544
LAKSHADWEEP,2003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,5,0,0,6,8
PUDUCHERRY,2003,0,2,71,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,45,2,9,18,464,2,11,126,567
TOTAL (UTs),2003,11,109,1559,5301,7,207,0,129,0,0,0,4,0,14,0,1095,0,0,2,11,9,36,457,1552,16,112,354,9432,43,478,2372,17524
TOTAL (ALL-INDIA),2003,2372,3145,61677,72147,877,4111,304,5457,6,12,3,132,156,468,65,14399,62,101,325,372,312,1064,14025,25058,1518,8611,16428,127672,5303,17512,92827,245237
ANDHRA PRADESH,2004,120,257,6249,7710,51,126,23,333,0,2,0,71,4,21,19,851,0,0,25,93,4,18,1083,2656,20,172,1058,11864,199,596,8457,23578
ARUNACHAL PRADESH,2004,8,12,94,147,3,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,44,56,18,22,76,176,30,45,215,388
ASSAM,2004,208,131,1485,2772,49,123,20,73,2,0,1,10,2,6,4,110,0,0,0,0,38,81,333,633,61,164,701,2268,360,505,2544,5866
BIHAR,2004,775,282,2246,4481,205,1396,13,440,1,0,0,1,72,79,46,1447,29,25,0,2,36,120,117,857,201,1084,753,3885,1319,2986,3175,11113
CHHATTISGARH,2004,53,59,2855,1426,12,33,4,16,2,0,0,1,3,13,0,249,1,1,3,79,3,10,375,429,32,247,483,2814,106,363,3720,5014
GOA,2004,1,6,129,57,3,1,0,4,0,2,0,0,0,0,0,3,0,1,1,2,1,3,72,70,0,5,59,367,5,18,261,503
GUJARAT,2004,97,227,3705,3825,76,114,1,118,1,0,0,9,5,109,0,517,3,3,15,18,36,83,1039,2223,142,600,1068,11841,360,1136,5828,18551
HARYANA,2004,9,35,1894,2266,11,41,0,264,1,4,0,0,0,3,2,180,1,4,26,1,5,33,478,696,25,124,386,3151,52,244,2786,6558
HIMACHAL PRADESH,2004,0,6,332,47,0,2,0,26,0,0,0,0,0,0,0,0,0,1,14,0,0,1,165,84,1,15,255,486,1,25,766,643
JAMMU & KASHMIR,2004,10,32,904,412,0,1,5,15,0,0,0,0,0,0,0,0,3,3,8,0,0,2,260,116,15,91,243,1396,28,129,1420,1939
JHARKHAND,2004,285,367,1290,1937,208,230,0,214,0,0,0,0,27,33,0,242,8,18,1,0,10,17,59,393,42,115,69,1588,580,780,1419,4374
KARNATAKA,2004,37,178,3821,3479,35,40,0,50,1,0,0,3,1,6,5,651,0,6,26,6,8,38,1123,1603,95,756,1118,10301,177,1024,6093,16093
KERALA,2004,25,161,2379,1528,11,43,4,71,0,0,0,1,2,8,3,122,0,16,69,49,17,45,825,263,74,366,1300,3206,129,639,4580,5240
MADHYA PRADESH,2004,58,171,9524,8114,23,200,10,523,0,1,0,56,0,45,4,1737,0,2,10,9,5,40,1336,1751,61,1067,1424,10396,147,1526,12308,22586
MAHARASHTRA,2004,172,346,8869,8350,88,269,39,771,0,0,0,7,5,47,1,2946,9,1,78,81,64,143,3086,3015,291,1423,2586,28782,629,2229,14659,43952
MANIPUR,2004,0,0,16,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,105,2,2,6,120,2,3,66,244
MEGHALAYA,2004,30,13,112,116,17,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,40,29,221,14,11,1,80,91,81,142,418
MIZORAM,2004,5,3,120,310,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,199,2,2,100,100,10,6,250,610
NAGALAND,2004,3,48,44,95,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,11,79,5,37,15,81,14,117,70,255
ODISHA,2004,95,145,1928,2472,24,210,1,35,0,0,0,0,1,14,1,355,2,0,9,0,28,81,442,625,88,502,611,2480,238,952,2992,5967
PUNJAB,2004,5,6,879,638,1,6,0,21,0,0,0,0,0,1,0,30,2,5,28,0,1,7,450,439,8,61,409,1459,17,86,1766,2587
RAJASTHAN,2004,3,26,3405,2585,21,87,0,87,0,0,0,0,0,3,1,543,0,3,11,1,0,13,1364,1632,34,541,1130,13994,58,673,5911,18842
SIKKIM,2004,0,2,38,33,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,3,12,21,0,5,64,73
TAMIL NADU,2004,21,157,2763,4105,14,35,4,69,0,0,0,5,1,8,4,288,0,4,5,4,3,29,569,2283,33,231,802,10776,72,464,4147,17530
