area_name,year,group_name,sub_group_name,cases_acquitted_or_discharged,cases_charge_sheets_were_not_laid_but_final_report_submitted,cases_chargesheeted,cases_compounded_or_withdrawn,cases_convicted,cases_declared_false_on_account_of_mistake_of_fact_or_of_law,cases_investigated_chargesheets_fr_submitted,cases_not_investigated_or_in_which_investigation_was_refused,cases_pending_investigation_at_year_end,cases_pending_investigation_from_previous_year,cases_pending_trial_at_year_end,cases_pending_trial_from_the_previous_year,cases_reported,cases_sent_for_trial,cases_trials_completed,cases_withdrawn_by_the_govt,cases_withdrawn_by_the_govt_during_investigation,total_cases_for_trial
Manipur,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2002,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2003,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2004,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Sikkim,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sikkim,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2006,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sikkim,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2007,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Dadra & Nagar Haveli,2008,Sati Prevention Act,11. Sati Prevention Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
