state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Total (State),"Copyright Act, 1957",23,0,3280,63,2874,21,703,2,23,1,6903,87,6990
A&N Islands,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,"Copyright Act, 1957",0,0,9,0,10,0,2,0,0,0,21,0,21
D&N Haveli,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,"Copyright Act, 1957",0,0,32,0,63,1,26,4,0,0,121,5,126
Lakshadweep,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"Copyright Act, 1957",0,0,6,0,1,0,1,0,0,0,8,0,8
Total (UTs),"Copyright Act, 1957",0,0,47,0,74,1,29,4,0,0,150,5,155
Total (All-India),"Copyright Act, 1957",23,0,3327,63,2948,22,732,6,23,1,7053,92,7145
Andhra Pradesh,"Dowry Prohibition Act, 1961",0,0,553,98,838,148,367,115,40,37,1798,398,2196
Arunachal Pradesh,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"Dowry Prohibition Act, 1961",0,0,67,0,81,0,10,0,0,0,158,0,158
Bihar,"Dowry Prohibition Act, 1961",4,0,1611,195,994,235,508,234,17,17,3134,681,3815
Chhattisgarh,"Dowry Prohibition Act, 1961",0,0,8,5,6,1,4,4,1,0,19,10,29
Goa,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,"Dowry Prohibition Act, 1961",0,0,47,19,54,25,81,59,8,3,190,106,296
Haryana,"Dowry Prohibition Act, 1961",0,0,10,1,2,0,1,1,0,0,13,2,15
Himachal Pradesh,"Dowry Prohibition Act, 1961",0,0,1,0,0,0,0,0,0,0,1,0,1
Jammu & Kashmir,"Dowry Prohibition Act, 1961",0,0,0,0,2,0,0,0,0,0,2,0,2
Jharkhand,"Dowry Prohibition Act, 1961",0,2,683,98,727,125,276,78,21,29,1707,332,2039
Karnataka,"Dowry Prohibition Act, 1961",0,0,755,205,1135,438,606,322,180,114,2676,1079,3755
Kerala,"Dowry Prohibition Act, 1961",0,0,0,0,2,0,0,0,0,0,2,0,2
Madhya Pradesh,"Dowry Prohibition Act, 1961",0,1,73,20,42,24,18,24,5,2,138,71,209
Maharashtra,"Dowry Prohibition Act, 1961",0,0,41,10,36,10,17,3,2,2,96,25,121
Manipur,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"Dowry Prohibition Act, 1961",1,0,700,203,1009,346,621,168,97,50,2428,767,3195
Punjab,"Dowry Prohibition Act, 1961",0,0,1,1,2,1,3,2,0,0,6,4,10
Rajasthan,"Dowry Prohibition Act, 1961",0,0,33,4,9,5,0,0,2,0,44,9,53
Sikkim,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"Dowry Prohibition Act, 1961",0,0,179,22,146,40,73,44,13,7,411,113,524
Tripura,"Dowry Prohibition Act, 1961",0,0,1,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,"Dowry Prohibition Act, 1961",0,1,2193,222,1449,214,992,155,191,9,4825,601,5426
Uttarakhand,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,"Dowry Prohibition Act, 1961",0,0,136,17,89,4,18,4,0,0,243,25,268
Total (State),"Dowry Prohibition Act, 1961",5,4,7092,1120,6623,1616,3595,1213,577,270,17892,4223,22115
A&N Islands,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,"Dowry Prohibition Act, 1961",0,0,3,0,7,1,0,0,0,0,10,1,11
Lakshadweep,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"Dowry Prohibition Act, 1961",0,0,2,1,8,2,3,4,3,2,16,9,25
Total (UTs),"Dowry Prohibition Act, 1961",0,0,5,1,15,3,3,4,3,2,26,10,36
Total (All-India),"Dowry Prohibition Act, 1961",5,4,7097,1121,6638,1619,3598,1217,580,272,17918,4233,22151
Andhra Pradesh,"Essential Commodities Act, 1955",0,0,90,1,114,1,19,1,1,0,224,3,227
Arunachal Pradesh,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"Essential Commodities Act, 1955",0,0,7,0,19,0,8,0,0,0,34,0,34
Bihar,"Essential Commodities Act, 1955",0,0,271,1,334,0,183,0,32,0,820,1,821
Chhattisgarh,"Essential Commodities Act, 1955",3,0,47,1,52,1,18,0,1,0,121,2,123
Goa,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,"Essential Commodities Act, 1955",0,0,65,1,91,1,25,0,3,0,184,2,186
Haryana,"Essential Commodities Act, 1955",0,0,38,0,73,0,25,2,6,1,142,3,145
Himachal Pradesh,"Essential Commodities Act, 1955",0,0,8,0,5,0,5,0,0,0,18,0,18
Jammu & Kashmir,"Essential Commodities Act, 1955",0,0,71,0,130,0,49,0,3,0,253,0,253
Jharkhand,"Essential Commodities Act, 1955",0,0,21,0,81,2,9,0,0,0,111,2,113
Karnataka,"Essential Commodities Act, 1955",0,0,198,0,247,2,155,1,11,0,611,3,614
Kerala,"Essential Commodities Act, 1955",0,0,28,0,133,2,75,1,10,0,246,3,249
Madhya Pradesh,"Essential Commodities Act, 1955",0,0,127,0,125,1,30,1,1,0,283,2,285
Maharashtra,"Essential Commodities Act, 1955",5,0,752,8,695,20,230,2,31,7,1713,37,1750
Manipur,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"Essential Commodities Act, 1955",0,0,0,0,3,0,4,0,0,0,7,0,7
Mizoram,"Essential Commodities Act, 1955",0,0,0,0,1,0,0,0,0,0,1,0,1
Nagaland,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"Essential Commodities Act, 1955",0,0,56,0,102,1,28,0,5,0,191,1,192
Punjab,"Essential Commodities Act, 1955",0,0,31,0,131,1,38,0,0,0,200,1,201
Rajasthan,"Essential Commodities Act, 1955",0,0,74,0,88,0,17,0,1,0,180,0,180
Sikkim,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"Essential Commodities Act, 1955",0,0,14,0,40,0,11,0,1,0,66,0,66
Tripura,"Essential Commodities Act, 1955",8,0,34,0,70,0,25,0,0,0,137,0,137
Uttar Pradesh,"Essential Commodities Act, 1955",0,0,731,1,758,5,352,1,4,0,1845,7,1852
Uttarakhand,"Essential Commodities Act, 1955",0,0,25,0,10,0,0,0,0,0,35,0,35
West Bengal,"Essential Commodities Act, 1955",0,0,67,0,120,0,65,0,3,0,255,0,255
Total (State),"Essential Commodities Act, 1955",16,0,2755,13,3422,37,1371,9,113,8,7677,67,7744
