state_ut,district,year,murder,rape,kidnapping_and_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_scs
Karnataka,GADAG,2013,0,0,0,0,0,0,0,0,17,17
Karnataka,GULBARGA,2013,0,0,5,0,0,0,25,0,0,0
Karnataka,HASSAN,2013,0,0,0,0,0,0,0,0,69,69
Karnataka,HAVERI,2013,0,0,0,0,0,0,18,0,18,0
Karnataka,K.G.F.,2013,0,2,0,0,0,0,6,0,8,8
Karnataka,KODAGU,2013,2,1,0,0,0,0,9,0,14,0
Karnataka,KOLAR,2013,3,5,0,0,0,0,0,0,95,87
Karnataka,KOPPAL,2013,0,0,0,0,0,0,0,0,38,0
Karnataka,MANDYA,2013,1,1,0,0,0,0,0,1,68,68
Karnataka,MANGALORE CITY,2013,0,2,0,0,0,0,4,0,31,29
Karnataka,MYSORE COMMR.,2013,0,0,0,0,0,0,0,0,2,0
Karnataka,MYSORE RURAL,2013,0,1,0,0,0,0,0,0,31,61
Karnataka,RAICHUR,2013,3,3,0,0,0,0,0,0,58,52
Karnataka,RAILWAYS,2013,0,0,0,0,0,0,0,0,0,0
Karnataka,RAMANAGAR,2013,1,2,0,1,0,0,0,0,69,74
Karnataka,SHIMOGA,2013,2,9,0,0,0,0,10,0,53,47
Karnataka,TUMKUR,2013,1,2,1,0,1,0,70,0,89,12
Karnataka,UDUPI,2013,1,3,0,0,0,0,2,0,35,29
Karnataka,UTTAR KANNADA,2013,0,0,0,0,0,0,0,0,28,18
Karnataka,YADGIRI,2013,0,0,0,0,0,0,0,0,33,0
Karnataka,TOTAL,2013,31,67,11,3,2,1,249,11,1380,811
Kerala,ALAPUZHA,2013,0,0,0,0,0,0,14,0,14,6
Kerala,ERNAKULAM COMMR.,2013,0,4,0,0,0,0,8,0,3,22
Kerala,ERNAKULAM RURAL,2013,1,9,0,0,0,0,18,0,7,24
Kerala,IDUKKI,2013,0,3,0,0,0,0,15,0,4,8
Kerala,KANNUR,2013,0,3,0,0,0,0,18,0,3,5
Kerala,KASARGOD,2013,0,0,0,0,0,0,13,0,1,10
Kerala,KOLLAM COMMR.,2013,0,10,0,0,0,0,9,0,11,11
Kerala,KOLLAM RURAL,2013,0,12,1,0,0,0,28,0,2,22
Kerala,KOTTAYAM,2013,0,5,0,0,0,0,19,0,6,19
Kerala,KOZHIKODE COMMR.,2013,0,4,0,0,0,0,5,0,0,7
Kerala,KOZHIKODE RURAL,2013,0,5,1,0,0,0,22,0,2,23
Kerala,MALAPPURAM,2013,0,14,0,0,0,0,15,0,1,45
Kerala,PALAKKAD,2013,0,15,0,0,0,0,30,0,3,22
Kerala,PATHANAMTHITTA,2013,0,3,0,0,0,0,5,0,2,18
Kerala,RAILWAYS,2013,0,0,0,0,0,0,0,0,0,0
Kerala,THRISSUR COMMR.,2013,0,4,0,0,0,0,1,0,3,3
Kerala,THRISSUR RURAL,2013,0,4,0,0,0,0,5,0,2,16
