area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Assam,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,2,0,0,0,2,0,0,1,0,0,0,1
Bihar,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,16,1,1,0,1,1,20,0,0,0,0,0,0,0
Chandigarh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,2,3,1,0,0,6,0,0,1,0,0,0,1
Goa,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,4,0,0,0,0,4,0,0,0,0,0,0,0
Gujarat,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,5,7,0,0,0,13,1,0,9,0,0,0,10
Haryana,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,5,0,1,0,0,0,6,2,0,5,0,0,0,7
Himachal Pradesh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,3,1,0,1,0,0,5,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,0,0,2,0,3,0,0,1,0,2,0,3
Jharkhand,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,2,0,0,1,0,3,0,0,1,0,0,0,1
Karnataka,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,6,2,0,0,0,10,0,0,0,0,0,0,0
Kerala,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,5,3,0,0,0,9,0,0,0,0,0,0,0
Lakshadweep,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,9,7,1,0,0,0,17,1,0,2,0,0,0,3
